id,name,badge_number,firebase_uid,status,lat,lng,performance_score,phone,police_station
"1","Ramesh Kumar","KP-1001","FKUSR00021","Busy","13.04757432595175","77.59249453035893","95","+91 9446878880","Kodigehalli"
"2","Suresh Singh","KP-1002","FKUSR00332","Busy","12.93457140982339","77.67791245747104","94","+91 9844901867","HAL Old Airport"
"3","Amit Sharma","KP-1003","FKUSR00082","Busy","12.99143007121396","77.55941279326876","95","+91 9361216436","Malleshwaram"
"4","Vijay Yadav","KP-1004","FKUSR00077","Busy","13.01354658569221","77.5202391355152","95","+91 9226241671","Rajajinagar"
"5","Rajesh Patel","KP-1005","FKUSR00023","Busy","12.99717622471138","77.56200105897685","96","+91 9955677273","Malleshwaram"
"6","Priya Devi","KP-1006","FKUSR00075","Busy","12.97876834566428","77.5773432161275","96","+91 9784224371","Upparpet"
"7","Kavita Gupta","KP-1007","FKUSR00113","Busy","13.03186645687073","77.58266479069678","96","+91 9979237036","Hebbala"
"8","Sanjay Verma","KP-1008","FKUSR00122","Off-Duty","12.85828589542928","77.58837504657478","95","+91 9904398809","Hulimavu"
"9","Sunil Joshi","KP-1009","FKUSR00115","Busy","12.97609866999512","77.57327521743963","96","+91 9782038656","Upparpet"
"10","Anil Mishra","KP-1010","FKUSR00068","Busy","13.18086157264282","77.67350779665861","94","+91 9500714398","Chikkajala"
"11","Deepak Choudhary","KP-1011","FKUSR00138","Busy","12.99780024486051","77.56817935597513","92","+91 9538516616","Malleshwaram"
"12","Vikram Reddy","KP-1012","FKUSR00626","Busy","12.93322772555737","77.68268633694412","96","+91 9188266535","HAL Old Airport"
"13","Arjun Nair","KP-1013","FKUSR00026","Busy","12.94552670509531","77.69394342960304","94","+91 9117478020","HAL Old Airport"
"14","Rahul Mehta","KP-1014","FKUSR00028","Busy","12.81953967073499","77.6955252927365","90","+91 9716959502","Electronic City"
"15","Jyoti Sen","KP-1015","FKUSR00041","Busy","12.98335172215307","77.60556246716283","90","+91 9468416191","Shivajinagar"
"16","Neha Das","KP-1016","FKUSR00105","Busy","13.00714104586384","77.55855661791553","92","+91 9137064369","Malleshwaram"
"17","Sunita Roy","KP-1017","FKUSR00025","Busy","13.03094920366548","77.73822396405919","91","+91 9808280437","K.R. Pura"
"18","Karan Rao","KP-1018","FKUSR00269","Busy","13.01089670404957","77.5681661580422","92","+91 9617178651","Malleshwaram"
"19","Manoj Pandey","KP-1019","FKUSR00129","Busy","12.96284644975189","77.582425586827","95","+91 9615448708","Halasuru Gate"
"20","Rakesh Trivedi","KP-1020","FKUSR00117","Busy","12.99228155521357","77.59817203325555","91","+91 9999160533","Shivajinagar"
"21","Mohan Kumar","KP-1021","FKUSR00191","Busy","12.91191915270296","77.63148540434626","90","+91 9638382917","HSR Layout"
"22","Harish Singh","KP-1022","FKUSR00229","Busy","12.98106726531794","77.61265354838078","92","+91 9896804223","Shivajinagar"
"23","Gopal Sharma","KP-1023","FKUSR00327","Busy","12.97021793330923","77.5799771127939","91","+91 9675151388","City Market"
"24","Shankar Yadav","KP-1024","FKUSR00151","Busy","12.96980005818497","77.58196278184012","90","+91 9432762652","City Market"
"25","Ketan Patel","KP-1025","FKUSR00031","Busy","13.00279376255449","77.68291070568478","94","+91 9861348439","Mahadevapura"
"26","Pradeep Devi","KP-1026","FKUSR00173","Busy","12.96188888121757","77.55882371384986","89","+91 9899977902","Magadi Road"
"27","Ajay Gupta","KP-1027","FKUSR00437","Busy","12.95533350552696","77.58547403828547","90","+91 9446851560","City Market"
"28","Devendra Verma","KP-1028","FKUSR00128","Busy","12.98291700548281","77.57025597046368","91","+91 9115173294","Upparpet"
"29","Naveen Joshi","KP-1029","FKUSR00298","Busy","12.97510904423267","77.58301383758217","93","+91 9253352955","City Market"
"30","Santosh Mishra","KP-1030","FKUSR00376","Busy","13.01004724853076","77.5539430949095","89","+91 9534099883","Malleshwaram"
"31","Kiran Choudhary","KP-1031","FKUSR00215","Busy","12.9657206017899","77.53943603377603","91","+91 9890956096","Vijayanagara"
"32","Asha Reddy","KP-1032","FKUSR00037","Off-Duty","12.98790401882749","77.61792723341827","90","+91 9278715125","Shivajinagar"
"33","Lata Nair","KP-1033","FKUSR00379","Busy","12.9807696285357","77.57980640586925","92","+91 9775919119","Upparpet"
"34","Geeta Mehta","KP-1034","FKUSR00126","Busy","12.97757701684806","77.58832885256344","91","+91 9173258043","Upparpet"
"35","Rekha Sen","KP-1035","FKUSR00027","Busy","12.96972812448923","77.58155990760095","88","+91 9464151711","Upparpet"
"36","Manju Das","KP-1036","FKUSR00035","Available","12.97675070999238","77.57777374449634","89","+91 9161027337","Upparpet"
"37","Anjali Roy","KP-1037","FKUSR00319","Off-Duty","12.97984020706835","77.58811672225852","90","+91 9244433040","Upparpet"
"38","Meena Rao","KP-1038","FKUSR00020","Available","12.97041374604438","77.58586297849362","89","+91 9102778414","Upparpet"
"39","Savita Pandey","KP-1039","FKUSR00554","Busy","12.95824609351493","77.70753706311588","89","+91 9266551255","HAL Old Airport"
"40","Poonam Trivedi","KP-1040","FKUSR00360","Busy","12.97807613287587","77.61123593656755","90","+91 9398084540","Shivajinagar"
"41","Dinesh Kumar","KP-1041","FKUSR00299","Busy","12.98118075615915","77.57507430405269","88","+91 9315353745","Upparpet"
"42","Vinod Singh","KP-1042","FKUSR00121","Available","12.9751079945269","77.57864894096976","88","+91 9903322086","Upparpet"
"43","Jitendra Sharma","KP-1043","FKUSR00388","Busy","12.96172406915373","77.58121363954847","90","+91 9835160895","City Market"
"44","Alok Yadav","KP-1044","FKUSR00318","Available","12.98467560501496","77.58422218866939","90","+91 9249249060","Upparpet"
"45","Satish Patel","KP-1045","FKUSR00240","Busy","12.98510810289137","77.57621467622006","92","+91 9247091158","Upparpet"
"46","Subhash Devi","KP-1046","FKUSR01236","Busy","12.99586376582621","77.59772553810116","87","+91 9237769122","Shivajinagar"
"47","Rajendra Gupta","KP-1047","FKUSR00677","Available","12.95501126003942","77.5810598818827","86","+91 9862289509","City Market"
